LED_0,LED_1,LED_2,LED_3,LED_4,LED_5,LED_6,LED_7,LED_8,LED_9,LED_10,LED_11,t
"1,0,0","3,0,0","3,0,0","7,0,0","0,12,0","0,22,0","0,27,0","0,17,0","0,0,31","0,0,30","0,0,37","0,0,26",16.733333333333334
"8,0,0","17,0,0","6,0,0","31,0,0","0,30,0","0,47,0","0,62,0","0,29,0","0,0,53","0,0,44","0,0,42","0,0,29",16.75
"15,0,0","38,0,0","31,0,0","52,0,0","0,36,0","0,45,0","0,58,0","0,35,0","0,0,60","0,0,49","0,0,45","0,0,30",16.766666666666666
"14,0,0","39,0,0","25,0,0","46,0,0","0,40,0","0,40,0","0,62,0","0,32,0","0,0,60","0,0,49","0,0,45","0,0,31",16.783333333333335
"19,0,0","31,0,0","20,0,0","37,0,0","0,36,0","0,41,0","0,52,0","0,33,0","0,0,56","0,0,48","0,0,46","0,0,31",16.8
"23,0,0","26,0,0","24,0,0","44,0,0","0,31,0","0,42,0","0,50,0","0,32,0","0,0,55","0,0,44","0,0,47","0,0,32",16.816666666666666
"28,0,0","21,0,0","19,0,0","36,0,0","0,30,0","0,49,0","0,61,0","0,39,0","0,0,53","0,0,43","0,0,48","0,0,37",16.833333333333332
"47,0,0","16,0,0","19,0,0","32,0,0","0,27,0","0,48,0","0,55,0","0,36,0","0,0,50","0,0,43","0,0,52","0,0,37",16.85
"55,0,0","13,0,0","25,0,0","28,0,0","0,30,0","0,45,0","0,54,0","0,32,0","0,0,48","0,0,40","0,0,50","0,0,40",16.866666666666667
"56,0,0","13,0,0","20,0,0","26,0,0","0,28,0","0,48,0","0,49,0","0,36,0","0,0,43","0,0,41","0,0,49","0,0,39",16.883333333333333
"45,0,0","12,0,0","16,0,0","23,0,0","0,25,0","0,42,0","0,42,0","0,31,0","0,0,43","0,0,39","0,0,47","0,0,35",16.9
"41,0,0","10,0,0","13,0,0","18,0,0","0,23,0","0,38,0","0,41,0","0,26,0","0,0,41","0,0,36","0,0,41","0,0,31",16.916666666666668
"34,0,0","8,0,0","10,0,0","15,0,0","0,21,0","0,31,0","0,38,0","0,27,0","0,0,38","0,0,33","0,0,37","0,0,29",16.933333333333334
"28,0,0","12,0,0","9,0,0","13,0,0","0,18,0","0,27,0","0,32,0","0,23,0","0,0,33","0,0,30","0,0,31","0,0,25",16.95
"23,0,0","10,0,0","7,0,0","10,0,0","0,15,0","0,22,0","0,27,0","0,20,0","0,0,28","0,0,25","0,0,27","0,0,21",16.966666666666665
"18,0,0","8,0,0","6,0,0","8,0,0","0,12,0","0,18,0","0,23,0","0,17,0","0,0,23","0,0,22","0,0,23","0,0,19",16.983333333333334
"15,0,0","6,0,0","5,0,0","7,0,0","0,9,0","0,15,0","0,19,0","0,14,0","0,0,20","0,0,21","0,0,20","0,0,16",17.0
"12,0,0","5,0,0","4,0,0","6,0,0","0,8,0","0,13,0","0,17,0","0,12,0","0,0,18","0,0,19","0,0,18","0,0,14",17.016666666666666
"9,0,0","4,0,0","3,0,0","4,0,0","0,7,0","0,11,0","0,16,0","0,11,0","0,0,16","0,0,16","0,0,16","0,0,13",17.033333333333335
"7,0,0","3,0,0","2,0,0","4,0,0","0,6,0","0,10,0","0,14,0","0,14,0","0,0,16","0,0,15","0,0,14","0,0,11",17.05
"6,0,0","3,0,0","2,0,0","3,0,0","0,5,0","0,8,0","0,13,0","0,13,0","0,0,15","0,0,14","0,0,14","0,0,12",17.066666666666666
"5,0,0","2,0,0","1,0,0","2,0,0","0,5,0","0,7,0","0,12,0","0,16,0","0,0,15","0,0,13","0,0,13","0,0,12",17.083333333333332
"4,0,0","2,0,0","2,0,0","3,0,0","0,5,0","0,9,0","0,21,0","0,23,0","0,0,30","0,0,25","0,0,38","0,0,28",17.1
"12,0,0","20,0,0","19,0,0","10,0,0","0,27,0","0,52,0","0,55,0","0,33,0","0,0,50","0,0,45","0,0,60","0,0,39",17.116666666666667
"50,0,0","47,0,0","25,0,0","38,0,0","0,50,0","0,77,0","0,59,0","0,51,0","0,0,64","0,0,52","0,0,65","0,0,40",17.133333333333333
"45,0,0","38,0,0","24,0,0","46,0,0","0,41,0","0,69,0","0,54,0","0,45,0","0,0,63","0,0,46","0,0,61","0,0,40",17.15
"36,0,0","34,0,0","21,0,0","38,0,0","0,46,0","0,61,0","0,52,0","0,44,0","0,0,62","0,0,46","0,0,65","0,0,40",17.166666666666668
"31,0,0","29,0,0","17,0,0","31,0,0","0,41,0","0,58,0","0,49,0","0,42,0","0,0,64","0,0,52","0,0,64","0,0,46",17.183333333333334
"38,0,0","26,0,0","13,0,0","35,0,0","0,41,0","0,55,0","0,53,0","0,42,0","0,0,61","0,0,51","0,0,63","0,0,48",17.2
"40,0,0","28,0,0","12,0,0","41,0,0","0,40,0","0,47,0","0,50,0","0,42,0","0,0,56","0,0,51","0,0,59","0,0,48",17.216666666666665
"37,0,0","30,0,0","10,0,0","33,0,0","0,34,0","0,44,0","0,47,0","0,39,0","0,0,57","0,0,52","0,0,62","0,0,52",17.233333333333334
"35,0,0","24,0,0","8,0,0","35,0,0","0,31,0","0,47,0","0,48,0","0,37,0","0,0,53","0,0,48","0,0,58","0,0,49",17.25
"40,0,0","19,0,0","7,0,0","28,0,0","0,28,0","0,39,0","0,47,0","0,34,0","0,0,53","0,0,51","0,0,55","0,0,43",17.266666666666666
"32,0,0","17,0,0","6,0,0","24,0,0","0,26,0","0,37,0","0,49,0","0,39,0","0,0,50","0,0,51","0,0,52","0,0,41",17.283333333333335
"26,0,0","16,0,0","6,0,0","22,0,0","0,23,0","0,37,0","0,48,0","0,33,0","0,0,44","0,0,47","0,0,49","0,0,36",17.3
"26,0,0","13,0,0","5,0,0","17,0,0","0,19,0","0,31,0","0,41,0","0,28,0","0,0,40","0,0,40","0,0,42","0,0,31",17.316666666666666
"21,0,0","10,0,0","4,0,0","14,0,0","0,16,0","0,29,0","0,35,0","0,24,0","0,0,36","0,0,35","0,0,36","0,0,28",17.333333333333332
"16,0,0","8,0,0","3,0,0","11,0,0","0,13,0","0,23,0","0,30,0","0,24,0","0,0,31","0,0,30","0,0,32","0,0,24",17.35
"13,0,0","6,0,0","2,0,0","9,0,0","0,11,0","0,19,0","0,27,0","0,25,0","0,0,29","0,0,27","0,0,29","0,0,23",17.366666666666667
"11,0,0","5,0,0","2,0,0","7,0,0","0,9,0","0,16,0","0,23,0","0,21,0","0,0,25","0,0,24","0,0,26","0,0,20",17.383333333333333
"9,0,0","4,0,0","1,0,0","6,0,0","0,7,0","0,13,0","0,21,0","0,19,0","0,0,24","0,0,21","0,0,23","0,0,18",17.4
"7,0,0","3,0,0","1,0,0","5,0,0","0,6,0","0,11,0","0,18,0","0,18,0","0,0,22","0,0,18","0,0,21","0,0,16",17.416666666666668
"5,0,0","2,0,0","1,0,0","4,0,0","0,5,0","0,9,0","0,16,0","0,16,0","0,0,19","0,0,16","0,0,19","0,0,15",17.433333333333334
"4,0,0","2,0,0","1,0,0","3,0,0","0,4,0","0,8,0","0,14,0","0,15,0","0,0,17","0,0,15","0,0,18","0,0,14",17.45
"3,0,0","1,0,0","0,0,0","3,0,0","0,3,0","0,7,0","0,13,0","0,18,0","0,0,17","0,0,15","0,0,19","0,0,15",17.466666666666665
"3,0,0","2,0,0","2,0,0","4,0,0","0,6,0","0,7,0","0,12,0","0,16,0","0,0,19","0,0,20","0,0,34","0,0,25",17.483333333333334
"3,0,0","3,0,0","1,0,0","3,0,0","0,5,0","0,7,0","0,12,0","0,16,0","0,0,18","0,0,20","0,0,31","0,0,22",17.5
"3,0,0","2,0,0","1,0,0","2,0,0","0,4,0","0,6,0","0,12,0","0,14,0","0,0,19","0,0,21","0,0,27","0,0,21",17.516666666666666
"2,0,0","2,0,0","1,0,0","2,0,0","0,3,0","0,6,0","0,11,0","0,13,0","0,0,18","0,0,21","0,0,25","0,0,20",17.533333333333335
"2,0,0","1,0,0","0,0,0","2,0,0","0,3,0","0,6,0","0,10,0","0,12,0","0,0,18","0,0,19","0,0,26","0,0,18",17.55
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,6,0","0,11,0","0,15,0","0,0,19","0,0,21","0,0,24","0,0,17",17.566666666666666
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,5,0","0,11,0","0,17,0","0,0,19","0,0,20","0,0,24","0,0,18",17.583333333333332
"1,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,5,0","0,10,0","0,19,0","0,0,18","0,0,19","0,0,22","0,0,17",17.6
"1,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,5,0","0,11,0","0,18,0","0,0,18","0,0,17","0,0,22","0,0,15",17.616666666666667
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,5,0","0,10,0","0,16,0","0,0,17","0,0,16","0,0,20","0,0,14",17.633333333333333
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,5,0","0,9,0","0,15,0","0,0,16","0,0,16","0,0,19","0,0,12",17.65
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,4,0","0,9,0","0,16,0","0,0,15","0,0,15","0,0,18","0,0,11",17.666666666666668
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,4,0","0,8,0","0,15,0","0,0,15","0,0,15","0,0,16","0,0,12",17.683333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,4,0","0,8,0","0,14,0","0,0,17","0,0,16","0,0,16","0,0,11",17.7
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,9,0","0,15,0","0,0,15","0,0,15","0,0,14","0,0,11",17.716666666666665
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,9,0","0,14,0","0,0,14","0,0,15","0,0,13","0,0,11",17.733333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,9,0","0,15,0","0,0,13","0,0,16","0,0,12","0,0,11",17.75
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,9,0","0,15,0","0,0,13","0,0,15","0,0,13","0,0,10",17.766666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,8,0","0,14,0","0,0,12","0,0,14","0,0,13","0,0,10",17.783333333333335
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,8,0","0,12,0","0,0,12","0,0,13","0,0,12","0,0,9",17.8
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,8,0","0,13,0","0,0,12","0,0,13","0,0,12","0,0,8",17.816666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,2,0","0,9,0","0,20,0","0,0,15","0,0,14","0,0,15","0,0,11",17.833333333333332
"0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,6,0","0,20,0","0,25,0","0,0,39","0,0,33","0,0,51","0,0,36",17.85
"0,0,0","0,0,0","3,0,0","2,0,0","0,4,0","0,9,0","0,24,0","0,27,0","0,0,48","0,0,52","0,0,75","0,0,58",17.866666666666667
"1,0,0","0,0,0","2,0,0","2,0,0","0,4,0","0,9,0","0,29,0","0,31,0","0,0,53","0,0,51","0,0,67","0,0,58",17.883333333333333
"2,0,0","0,0,0","1,0,0","2,0,0","0,4,0","0,10,0","0,31,0","0,32,0","0,0,51","0,0,54","0,0,69","0,0,54",17.9
"2,0,0","0,0,0","1,0,0","1,0,0","0,3,0","0,10,0","0,29,0","0,31,0","0,0,56","0,0,57","0,0,65","0,0,56",17.916666666666668
"2,0,0","0,0,0","1,0,0","1,0,0","0,3,0","0,13,0","0,29,0","0,31,0","0,0,60","0,0,55","0,0,63","0,0,59",17.933333333333334
"2,0,0","0,0,0","1,0,0","1,0,0","0,2,0","0,12,0","0,29,0","0,35,0","0,0,59","0,0,55","0,0,60","0,0,55",17.95
"1,0,0","0,0,0","1,0,0","1,0,0","0,3,0","0,12,0","0,30,0","0,35,0","0,0,58","0,0,53","0,0,57","0,0,54",17.966666666666665
"1,0,0","0,0,0","0,0,0","1,0,0","0,3,0","0,13,0","0,34,0","0,32,0","0,0,58","0,0,50","0,0,64","0,0,52",17.983333333333334
"1,0,0","0,0,0","0,0,0","0,0,0","0,3,0","0,12,0","0,29,0","0,31,0","0,0,57","0,0,50","0,0,58","0,0,49",18.0
"1,0,0","0,0,0","0,0,0","0,0,0","0,3,0","0,10,0","0,29,0","0,29,0","0,0,59","0,0,45","0,0,57","0,0,46",18.016666666666666
"1,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,10,0","0,27,0","0,28,0","0,0,56","0,0,42","0,0,51","0,0,41",18.033333333333335
"0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,10,0","0,26,0","0,29,0","0,0,50","0,0,38","0,0,48","0,0,38",18.05
"0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,8,0","0,25,0","0,28,0","0,0,43","0,0,36","0,0,44","0,0,34",18.066666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,8,0","0,22,0","0,25,0","0,0,40","0,0,33","0,0,39","0,0,30",18.083333333333332
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,8,0","0,18,0","0,26,0","0,0,36","0,0,29","0,0,35","0,0,26",18.1
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,7,0","0,17,0","0,23,0","0,0,33","0,0,25","0,0,31","0,0,24",18.116666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,7,0","0,14,0","0,19,0","0,0,30","0,0,22","0,0,28","0,0,21",18.133333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,6,0","0,14,0","0,18,0","0,0,27","0,0,22","0,0,27","0,0,19",18.15
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,5,0","0,12,0","0,18,0","0,0,26","0,0,19","0,0,23","0,0,17",18.166666666666668
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,5,0","0,12,0","0,23,0","0,0,23","0,0,18","0,0,21","0,0,15",18.183333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,5,0","0,11,0","0,21,0","0,0,22","0,0,18","0,0,19","0,0,13",18.2
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,5,0","0,10,0","0,19,0","0,0,22","0,0,19","0,0,25","0,0,18",18.216666666666665
"0,0,0","0,0,0","2,0,0","2,0,0","0,4,0","0,6,0","0,10,0","0,19,0","0,0,23","0,0,27","0,0,38","0,0,26",18.233333333333334
"1,0,0","2,0,0","2,0,0","2,0,0","0,3,0","0,6,0","0,12,0","0,18,0","0,0,23","0,0,26","0,0,36","0,0,25",18.25
"3,0,0","2,0,0","2,0,0","2,0,0","0,3,0","0,5,0","0,12,0","0,18,0","0,0,22","0,0,25","0,0,34","0,0,24",18.266666666666666
"3,0,0","2,0,0","1,0,0","2,0,0","0,3,0","0,5,0","0,10,0","0,16,0","0,0,20","0,0,25","0,0,33","0,0,21",18.283333333333335
"3,0,0","1,0,0","1,0,0","1,0,0","0,3,0","0,4,0","0,12,0","0,21,0","0,0,22","0,0,24","0,0,32","0,0,19",18.3
"3,0,0","1,0,0","1,0,0","1,0,0","0,2,0","0,4,0","0,11,0","0,20,0","0,0,19","0,0,26","0,0,30","0,0,18",18.316666666666666
"2,0,0","1,0,0","1,0,0","1,0,0","0,2,0","0,4,0","0,10,0","0,21,0","0,0,20","0,0,22","0,0,30","0,0,19",18.333333333333332
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,4,0","0,10,0","0,22,0","0,0,20","0,0,21","0,0,28","0,0,17",18.35
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,5,0","0,9,0","0,20,0","0,0,19","0,0,21","0,0,26","0,0,18",18.366666666666667
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,4,0","0,10,0","0,17,0","0,0,19","0,0,20","0,0,24","0,0,16",18.383333333333333
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,4,0","0,9,0","0,17,0","0,0,18","0,0,18","0,0,21","0,0,17",18.4
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,9,0","0,20,0","0,0,17","0,0,17","0,0,22","0,0,17",18.416666666666668
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,8,0","0,19,0","0,0,19","0,0,16","0,0,20","0,0,16",18.433333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,2,0","0,7,0","0,19,0","0,0,20","0,0,16","0,0,19","0,0,14",18.45
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,3,0","0,7,0","0,17,0","0,0,20","0,0,16","0,0,19","0,0,13",18.466666666666665
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,2,0","0,8,0","0,18,0","0,0,21","0,0,17","0,0,19","0,0,13",18.483333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,9,0","0,17,0","0,0,19","0,0,16","0,0,18","0,0,12",18.5
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,9,0","0,16,0","0,0,19","0,0,16","0,0,18","0,0,12",18.516666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,9,0","0,18,0","0,0,19","0,0,16","0,0,16","0,0,13",18.533333333333335
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,8,0","0,15,0","0,0,17","0,0,17","0,0,17","0,0,13",18.55
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,7,0","0,16,0","0,0,16","0,0,15","0,0,19","0,0,12",18.566666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,8,0","0,21,0","0,0,18","0,0,19","0,0,18","0,0,12",18.583333333333332
"0,0,0","0,0,0","3,0,0","5,0,0","0,4,0","0,15,0","0,31,0","0,26,0","0,0,42","0,0,45","0,0,58","0,0,45",18.6
"2,0,0","6,0,0","6,0,0","15,0,0","0,18,0","0,44,0","0,46,0","0,39,0","0,0,54","0,0,59","0,0,74","0,0,53",18.616666666666667
"4,0,0","11,0,0","7,0,0","15,0,0","0,40,0","0,66,0","0,59,0","0,46,0","0,0,66","0,0,61","0,0,72","0,0,52",18.633333333333333
"21,0,0","13,0,0","13,0,0","16,0,0","0,37,0","0,66,0","0,55,0","0,42,0","0,0,66","0,0,66","0,0,74","0,0,51",18.65
"19,0,0","11,0,0","11,0,0","16,0,0","0,35,0","0,65,0","0,51,0","0,36,0","0,0,68","0,0,59","0,0,71","0,0,48",18.666666666666668
"18,0,0","10,0,0","11,0,0","18,0,0","0,32,0","0,56,0","0,47,0","0,41,0","0,0,65","0,0,57","0,0,64","0,0,48",18.683333333333334
"14,0,0","9,0,0","10,0,0","19,0,0","0,28,0","0,51,0","0,51,0","0,54,0","0,0,63","0,0,56","0,0,66","0,0,51",18.7
"187,0,0","213,0,0","0,0,0","50,0,0","0,82,0","0,79,0","0,43,0","0,69,0","0,0,78","0,0,73","0,0,72","0,0,103",18.716666666666665
"219,0,0","203,0,0","3,0,0","40,0,0","0,72,0","0,70,0","0,44,0","0,60,0","0,0,71","0,0,65","0,0,71","0,0,93",18.733333333333334
"217,0,0","162,0,0","3,0,0","35,0,0","0,61,0","0,63,0","0,39,0","0,52,0","0,0,64","0,0,63","0,0,65","0,0,80",18.75
"173,0,0","130,0,0","5,0,0","33,0,0","0,52,0","0,62,0","0,41,0","0,47,0","0,0,60","0,0,58","0,0,63","0,0,71",18.766666666666666
"142,0,0","104,0,0","4,0,0","27,0,0","0,43,0","0,58,0","0,35,0","0,41,0","0,0,58","0,0,57","0,0,58","0,0,62",18.783333333333335
"114,0,0","83,0,0","6,0,0","24,0,0","0,36,0","0,49,0","0,40,0","0,38,0","0,0,53","0,0,52","0,0,56","0,0,56",18.8
"96,0,0","67,0,0","8,0,0","23,0,0","0,32,0","0,43,0","0,35,0","0,34,0","0,0,48","0,0,49","0,0,50","0,0,51",18.816666666666666
"77,0,0","54,0,0","6,0,0","18,0,0","0,26,0","0,35,0","0,28,0","0,31,0","0,0,43","0,0,43","0,0,44","0,0,45",18.833333333333332
"61,0,0","43,0,0","5,0,0","14,0,0","0,21,0","0,28,0","0,24,0","0,31,0","0,0,40","0,0,38","0,0,39","0,0,38",18.85
"49,0,0","34,0,0","4,0,0","12,0,0","0,17,0","0,24,0","0,20,0","0,27,0","0,0,35","0,0,33","0,0,35","0,0,33",18.866666666666667
"39,0,0","27,0,0","3,0,0","9,0,0","0,14,0","0,19,0","0,17,0","0,24,0","0,0,31","0,0,29","0,0,32","0,0,29",18.883333333333333
"31,0,0","22,0,0","3,0,0","7,0,0","0,11,0","0,16,0","0,15,0","0,21,0","0,0,29","0,0,27","0,0,29","0,0,25",18.9
"25,0,0","17,0,0","2,0,0","6,0,0","0,9,0","0,13,0","0,14,0","0,19,0","0,0,26","0,0,25","0,0,26","0,0,23",18.916666666666668
"20,0,0","14,0,0","2,0,0","5,0,0","0,7,0","0,11,0","0,12,0","0,19,0","0,0,23","0,0,23","0,0,24","0,0,20",18.933333333333334
"16,0,0","11,0,0","1,0,0","4,0,0","0,6,0","0,9,0","0,10,0","0,18,0","0,0,21","0,0,22","0,0,25","0,0,20",18.95
"13,0,0","9,0,0","1,0,0","3,0,0","0,5,0","0,7,0","0,9,0","0,17,0","0,0,21","0,0,22","0,0,24","0,0,19",18.966666666666665
"18,0,0","12,0,0","3,0,0","7,0,0","0,23,0","0,40,0","0,39,0","0,34,0","0,0,38","0,0,32","0,0,39","0,0,26",18.983333333333334
"26,0,0","20,0,0","4,0,0","29,0,0","0,48,0","0,63,0","0,72,0","0,62,0","0,0,61","0,0,43","0,0,44","0,0,31",19.0
"40,0,0","33,0,0","18,0,0","68,0,0","0,57,0","0,60,0","0,67,0","0,62,0","0,0,69","0,0,50","0,0,47","0,0,37",19.016666666666666
"56,0,0","26,0,0","14,0,0","54,0,0","0,54,0","0,52,0","0,65,0","0,56,0","0,0,62","0,0,49","0,0,43","0,0,35",19.033333333333335
"45,0,0","21,0,0","15,0,0","43,0,0","0,51,0","0,45,0","0,64,0","0,46,0","0,0,56","0,0,50","0,0,43","0,0,34",19.05
"36,0,0","18,0,0","12,0,0","35,0,0","0,45,0","0,41,0","0,59,0","0,44,0","0,0,55","0,0,48","0,0,44","0,0,35",19.066666666666666
"28,0,0","14,0,0","9,0,0","28,0,0","0,40,0","0,36,0","0,58,0","0,42,0","0,0,54","0,0,46","0,0,42","0,0,33",19.083333333333332
"26,0,0","12,0,0","9,0,0","25,0,0","0,34,0","0,34,0","0,52,0","0,42,0","0,0,49","0,0,43","0,0,47","0,0,32",19.1
"22,0,0","11,0,0","7,0,0","20,0,0","0,28,0","0,42,0","0,57,0","0,42,0","0,0,51","0,0,43","0,0,50","0,0,33",19.116666666666667
"22,0,0","9,0,0","6,0,0","26,0,0","0,23,0","0,36,0","0,61,0","0,39,0","0,0,48","0,0,44","0,0,49","0,0,32",19.133333333333333
"21,0,0","7,0,0","5,0,0","21,0,0","0,21,0","0,29,0","0,62,0","0,37,0","0,0,50","0,0,42","0,0,50","0,0,35",19.15
"17,0,0","8,0,0","5,0,0","17,0,0","0,20,0","0,26,0","0,58,0","0,39,0","0,0,46","0,0,43","0,0,47","0,0,36",19.166666666666668
"16,0,0","9,0,0","4,0,0","14,0,0","0,20,0","0,29,0","0,51,0","0,35,0","0,0,44","0,0,40","0,0,46","0,0,32",19.183333333333334
"13,0,0","12,0,0","3,0,0","12,0,0","0,20,0","0,42,0","0,52,0","0,30,0","0,0,41","0,0,35","0,0,45","0,0,28",19.2
"10,0,0","10,0,0","3,0,0","9,0,0","0,17,0","0,43,0","0,50,0","0,29,0","0,0,43","0,0,32","0,0,42","0,0,25",19.216666666666665
"8,0,0","8,0,0","2,0,0","7,0,0","0,14,0","0,39,0","0,53,0","0,26,0","0,0,40","0,0,33","0,0,37","0,0,24",19.233333333333334
"7,0,0","7,0,0","2,0,0","6,0,0","0,13,0","0,38,0","0,44,0","0,22,0","0,0,36","0,0,28","0,0,35","0,0,21",19.25
"6,0,0","5,0,0","1,0,0","5,0,0","0,12,0","0,31,0","0,35,0","0,20,0","0,0,33","0,0,25","0,0,30","0,0,20",19.266666666666666
"5,0,0","4,0,0","1,0,0","4,0,0","0,10,0","0,26,0","0,32,0","0,17,0","0,0,28","0,0,23","0,0,28","0,0,19",19.283333333333335
"4,0,0","3,0,0","1,0,0","3,0,0","0,8,0","0,21,0","0,27,0","0,16,0","0,0,26","0,0,23","0,0,26","0,0,19",19.3
"4,0,0","3,0,0","1,0,0","2,0,0","0,8,0","0,18,0","0,24,0","0,17,0","0,0,25","0,0,21","0,0,25","0,0,21",19.316666666666666
"4,0,0","2,0,0","1,0,0","2,0,0","0,11,0","0,18,0","0,21,0","0,14,0","0,0,26","0,0,24","0,0,27","0,0,21",19.333333333333332
"3,0,0","2,0,0","1,0,0","2,0,0","0,20,0","0,22,0","0,30,0","0,21,0","0,0,44","0,0,38","0,0,51","0,0,36",19.35
"2,0,0","4,0,0","1,0,0","1,0,0","0,16,0","0,51,0","0,34,0","0,24,0","0,0,52","0,0,44","0,0,55","0,0,38",19.366666666666667
"2,0,0","3,0,0","1,0,0","1,0,0","0,13,0","0,56,0","0,46,0","0,34,0","0,0,58","0,0,44","0,0,51","0,0,39",19.383333333333333
"4,0,0","2,0,0","0,0,0","1,0,0","0,13,0","0,48,0","0,60,0","0,39,0","0,0,60","0,0,48","0,0,54","0,0,41",19.4
"4,0,0","2,0,0","0,0,0","1,0,0","0,11,0","0,42,0","0,49,0","0,43,0","0,0,59","0,0,46","0,0,56","0,0,41",19.416666666666668
"3,0,0","1,0,0","0,0,0","0,0,0","0,9,0","0,41,0","0,46,0","0,37,0","0,0,59","0,0,45","0,0,56","0,0,45",19.433333333333334
"2,0,0","1,0,0","0,0,0","0,0,0","0,7,0","0,37,0","0,43,0","0,33,0","0,0,58","0,0,45","0,0,53","0,0,44",19.45
"2,0,0","1,0,0","0,0,0","0,0,0","0,7,0","0,34,0","0,39,0","0,32,0","0,0,57","0,0,44","0,0,52","0,0,46",19.466666666666665
"2,0,0","1,0,0","0,0,0","0,0,0","0,10,0","0,34,0","0,39,0","0,32,0","0,0,53","0,0,47","0,0,55","0,0,45",19.483333333333334
"1,0,0","1,0,0","0,0,0","0,0,0","0,11,0","0,30,0","0,39,0","0,35,0","0,0,54","0,0,50","0,0,52","0,0,42",19.5
"1,0,0","0,0,0","0,0,0","0,0,0","0,11,0","0,32,0","0,35,0","0,31,0","0,0,51","0,0,47","0,0,53","0,0,40",19.516666666666666
"1,0,0","0,0,0","0,0,0","0,0,0","0,9,0","0,33,0","0,31,0","0,29,0","0,0,49","0,0,42","0,0,51","0,0,41",19.533333333333335
"1,0,0","0,0,0","0,0,0","0,0,0","0,7,0","0,33,0","0,29,0","0,28,0","0,0,47","0,0,41","0,0,51","0,0,38",19.55
"0,0,0","0,0,0","0,0,0","0,0,0","0,7,0","0,27,0","0,31,0","0,24,0","0,0,44","0,0,43","0,0,49","0,0,34",19.566666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,6,0","0,22,0","0,27,0","0,23,0","0,0,43","0,0,39","0,0,47","0,0,35",19.583333333333332
"0,0,0","0,0,0","0,0,0","0,0,0","0,5,0","0,23,0","0,27,0","0,21,0","0,0,40","0,0,36","0,0,45","0,0,31",19.6
"0,0,0","0,0,0","0,0,0","0,0,0","0,5,0","0,24,0","0,29,0","0,18,0","0,0,36","0,0,36","0,0,42","0,0,29",19.616666666666667
