LED_0,LED_1,LED_2,LED_3,LED_4,LED_5,LED_6,LED_7,LED_8,LED_9,LED_10,LED_11,t
"3,0,0","2,0,0","0,0,0","0,0,0","0,2,0","0,8,0","0,29,0","0,19,0","0,0,51","0,0,47","0,0,59","0,0,41",0.65
"3,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,9,0","0,26,0","0,21,0","0,0,58","0,0,51","0,0,57","0,0,42",0.6666666666666666
"2,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,10,0","0,26,0","0,22,0","0,0,60","0,0,50","0,0,58","0,0,49",0.6833333333333333
"2,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,10,0","0,30,0","0,22,0","0,0,58","0,0,55","0,0,59","0,0,48",0.7
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,10,0","0,31,0","0,22,0","0,0,58","0,0,53","0,0,61","0,0,50",0.7166666666666667
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,15,0","0,32,0","0,20,0","0,0,57","0,0,51","0,0,60","0,0,47",0.7333333333333333
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,14,0","0,33,0","0,22,0","0,0,56","0,0,51","0,0,53","0,0,48",0.75
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,13,0","0,28,0","0,19,0","0,0,54","0,0,47","0,0,53","0,0,44",0.7666666666666667
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,12,0","0,25,0","0,19,0","0,0,48","0,0,42","0,0,49","0,0,40",0.7833333333333333
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,11,0","0,24,0","0,20,0","0,0,44","0,0,38","0,0,47","0,0,37",0.8
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,9,0","0,24,0","0,18,0","0,0,38","0,0,34","0,0,40","0,0,33",0.8166666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,8,0","0,21,0","0,15,0","0,0,32","0,0,29","0,0,36","0,0,30",0.8333333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,7,0","0,17,0","0,13,0","0,0,28","0,0,25","0,0,31","0,0,26",0.85
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,6,0","0,15,0","0,11,0","0,0,25","0,0,22","0,0,27","0,0,23",0.8666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,5,0","0,12,0","0,9,0","0,0,21","0,0,19","0,0,24","0,0,20",0.8833333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,4,0","0,11,0","0,8,0","0,0,17","0,0,16","0,0,21","0,0,17",0.9
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,3,0","0,9,0","0,6,0","0,0,15","0,0,13","0,0,18","0,0,14",0.9166666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,7,0","0,5,0","0,0,12","0,0,11","0,0,15","0,0,12",0.9333333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,6,0","0,4,0","0,0,10","0,0,10","0,0,12","0,0,10",0.95
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,2,0","0,5,0","0,4,0","0,0,10","0,0,11","0,0,18","0,0,17",0.9666666666666667
"0,0,0","0,0,0","2,0,0","3,0,0","0,5,0","0,5,0","0,7,0","0,6,0","0,0,16","0,0,21","0,0,39","0,0,33",0.9833333333333333
"1,0,0","2,0,0","1,0,0","3,0,0","0,4,0","0,4,0","0,7,0","0,5,0","0,0,14","0,0,20","0,0,36","0,0,30",1.0
"2,0,0","1,0,0","1,0,0","2,0,0","0,4,0","0,3,0","0,6,0","0,5,0","0,0,13","0,0,20","0,0,31","0,0,26",1.0166666666666666
"2,0,0","1,0,0","1,0,0","2,0,0","0,3,0","0,3,0","0,4,0","0,4,0","0,0,12","0,0,18","0,0,29","0,0,22",1.0333333333333334
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,3,0","0,4,0","0,4,0","0,0,11","0,0,16","0,0,29","0,0,20",1.05
"3,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,2,0","0,3,0","0,3,0","0,0,10","0,0,15","0,0,27","0,0,17",1.0666666666666667
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,2,0","0,3,0","0,3,0","0,0,9","0,0,13","0,0,25","0,0,16",1.0833333333333333
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,2,0","0,3,0","0,2,0","0,0,9","0,0,11","0,0,21","0,0,15",1.1
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,1,0","0,2,0","0,2,0","0,0,8","0,0,11","0,0,19","0,0,13",1.1166666666666667
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,2,0","0,0,7","0,0,10","0,0,17","0,0,11",1.1333333333333333
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,1,0","0,0,6","0,0,9","0,0,14","0,0,9",1.15
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,1,0","0,0,5","0,0,7","0,0,12","0,0,8",1.1666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,1,0","0,1,0","0,0,4","0,0,7","0,0,11","0,0,7",1.1833333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,1,0","0,0,4","0,0,6","0,0,10","0,0,6",1.2
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,1,0","0,0,4","0,0,6","0,0,8","0,0,5",1.2166666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,0,0","0,0,3","0,0,5","0,0,7","0,0,5",1.2333333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,3","0,0,5","0,0,6","0,0,4",1.25
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,2","0,0,4","0,0,5","0,0,3",1.2666666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,2","0,0,3","0,0,4","0,0,3",1.2833333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,2","0,0,3","0,0,4","0,0,2",1.3
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,1","0,0,2","0,0,3","0,0,2",1.3166666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,1","0,0,2","0,0,2","0,0,1",1.3333333333333333
"0,0,0","0,0,0","1,0,0","2,0,0","0,4,0","0,9,0","0,23,0","0,15,0","0,0,35","0,0,33","0,0,48","0,0,43",1.35
"1,0,0","1,0,0","3,0,0","4,0,0","0,6,0","0,10,0","0,26,0","0,14,0","0,0,45","0,0,50","0,0,72","0,0,61",1.3666666666666667
"1,0,0","1,0,0","2,0,0","3,0,0","0,5,0","0,11,0","0,29,0","0,17,0","0,0,47","0,0,50","0,0,64","0,0,60",1.3833333333333333
"3,0,0","1,0,0","2,0,0","3,0,0","0,4,0","0,11,0","0,31,0","0,19,0","0,0,48","0,0,51","0,0,68","0,0,63",1.4
"4,0,0","1,0,0","1,0,0","2,0,0","0,4,0","0,12,0","0,29,0","0,20,0","0,0,54","0,0,55","0,0,62","0,0,60",1.4166666666666667
"4,0,0","2,0,0","1,0,0","2,0,0","0,3,0","0,14,0","0,29,0","0,22,0","0,0,58","0,0,56","0,0,64","0,0,61",1.4333333333333333
"3,0,0","1,0,0","1,0,0","1,0,0","0,3,0","0,14,0","0,30,0","0,27,0","0,0,58","0,0,58","0,0,66","0,0,61",1.45
"2,0,0","1,0,0","1,0,0","1,0,0","0,3,0","0,15,0","0,31,0","0,27,0","0,0,56","0,0,54","0,0,66","0,0,62",1.4666666666666666
"2,0,0","1,0,0","1,0,0","1,0,0","0,3,0","0,16,0","0,34,0","0,27,0","0,0,54","0,0,53","0,0,69","0,0,57",1.4833333333333334
"2,0,0","1,0,0","1,0,0","1,0,0","0,2,0","0,14,0","0,33,0","0,28,0","0,0,55","0,0,52","0,0,65","0,0,55",1.5
"2,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,12,0","0,31,0","0,25,0","0,0,55","0,0,49","0,0,61","0,0,51",1.5166666666666666
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,11,0","0,28,0","0,24,0","0,0,50","0,0,45","0,0,54","0,0,45",1.5333333333333334
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,10,0","0,28,0","0,22,0","0,0,45","0,0,42","0,0,48","0,0,40",1.55
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,9,0","0,26,0","0,20,0","0,0,38","0,0,38","0,0,43","0,0,35",1.5666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,8,0","0,22,0","0,16,0","0,0,32","0,0,34","0,0,38","0,0,31",1.5833333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,7,0","0,18,0","0,15,0","0,0,29","0,0,29","0,0,33","0,0,27",1.6
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,6,0","0,16,0","0,12,0","0,0,25","0,0,26","0,0,28","0,0,22",1.6166666666666667
